time,playerPosX,playerPosY,playerVelMod,playerVelDir,playerRowVelMod,playerRowVelDir,targetPosX,targetPosY,label
2.340247,665.939575,1765.316284,384.654537,0.342846,396.327675,-0.836092,704.000000,1789.000000,5
2.352415,669.711243,1767.162109,439.522314,0.651602,351.111707,-0.676469,704.000000,1789.000000,5
2.366702,673.424500,1768.820435,376.310108,0.567098,323.631329,-0.482494,704.000000,1789.000000,5
2.381517,676.633606,1770.904175,314.616473,0.583367,311.070883,-0.267333,704.000000,1789.000000,5
2.394033,678.832886,1773.150024,252.972518,0.584238,305.745373,-0.060653,704.000000,1789.000000,5
2.407931,682.182373,1776.418823,314.554006,0.562036,317.885492,0.136312,704.000000,1789.000000,5
2.420817,685.487793,1778.388916,252.671462,0.523075,336.346315,0.270781,704.000000,1789.000000,5
2.435107,688.766968,1781.234863,191.026773,0.520476,360.480944,0.391704,704.000000,1789.000000,5
2.447491,691.234497,1783.371460,119.416146,0.471422,367.537995,0.469964,704.000000,1789.000000,5
2.461537,693.238770,1785.466797,151.064730,0.415276,361.129600,0.542169,704.000000,1789.000000,5
2.474196,693.807373,1786.231323,66.747160,0.317238,344.426615,0.580638,704.000000,1789.000000,5
2.488459,694.953064,1787.539062,93.236662,0.265235,326.126540,0.626332,704.000000,1789.000000,5
2.501213,696.226257,1788.421997,104.491646,0.160102,294.148675,0.653694,704.000000,1789.000000,5
2.515620,696.012329,1788.708130,26.509768,0.074217,254.942357,0.672514,704.000000,1789.000000,5
2.530045,695.804321,1788.472900,55.716939,0.036524,208.245072,0.677287,704.000000,1789.000000,5
2.542059,696.196472,1788.156860,75.191628,0.064226,167.936016,0.647820,704.000000,1789.000000,5
2.557518,695.991394,1787.645752,85.677049,0.107628,127.598562,0.615698,704.000000,1789.000000,5
2.569407,696.356140,1787.028931,93.785528,0.167514,93.918159,0.516749,704.000000,1789.000000,5
2.584279,695.625366,1786.415405,19.980967,0.252365,62.488854,0.424735,704.000000,1789.000000,5
2.596091,695.048157,1786.030884,54.019529,0.299348,39.909059,0.280967,704.000000,1789.000000,5
2.610688,695.177246,1785.915649,79.418991,0.320259,33.359017,0.085342,704.000000,1789.000000,5
2.625060,695.647644,1786.022461,96.424421,0.336310,33.357765,-0.016772,704.000000,1789.000000,5
2.637041,697.161377,1786.481079,105.249107,0.342446,41.363498,0.040072,704.000000,1789.000000,5
2.651479,698.157349,1786.755127,26.318682,0.352917,51.275930,0.112445,704.000000,1789.000000,5
2.664162,698.484375,1786.930908,49.206806,0.366831,49.768515,0.154042,704.000000,1789.000000,5
2.677891,698.764709,1786.632446,60.160259,0.358887,48.971046,0.057475,704.000000,1789.000000,5
2.690575,698.870117,1786.823853,65.216175,0.424707,48.284308,0.137289,704.000000,1789.000000,5
2.705001,698.946045,1786.924316,1.876126,0.401201,53.005614,0.217346,704.000000,1789.000000,5
0.012283,699.507141,1786.886475,62.493603,-0.699538,50.937723,0.402958,2113.000000,597.000000,6
0.026767,700.350342,1785.812622,124.137438,-0.699718,45.280531,0.457987,2113.000000,597.000000,6
0.039131,702.122253,1784.370605,185.781272,-0.699567,48.304950,0.516566,2113.000000,597.000000,6
0.053296,704.667236,1782.384644,247.425108,-0.699587,46.870158,0.549970,2113.000000,597.000000,6
0.068011,707.464294,1779.982544,309.068943,-0.699652,37.052477,0.558081,2113.000000,597.000000,6
0.080414,710.696777,1777.444946,370.712778,-0.699632,35.191292,0.413027,2113.000000,597.000000,6
0.094764,713.961426,1774.161621,432.356613,-0.699708,34.089683,-0.043203,2113.000000,597.000000,6
