time,playerPosX,playerPosY,playerVelMod,playerVelDir,playerRowVelMod,playerRowVelDir,targetPosX,targetPosY,label
<<<<<<< HEAD
0.127665,-299.960266,-0.000133,0.000000,0.000000,0.008044,-0.472108,0.000000,0.000000,0
0.162441,-299.138397,-0.011373,61.643836,0.000000,0.006739,-0.392218,0.000000,0.000000,0
0.181669,-297.494873,-0.042797,123.287671,0.000038,0.005410,-0.317239,0.000000,0.000000,0
0.206578,-294.870056,-0.103756,184.931506,0.000144,2.625933,0.144347,0.000000,0.000000,0
0.231091,-290.854126,-0.256056,246.575338,0.000352,13.903707,0.050981,0.000000,0.000000,0
0.261639,-285.523560,-0.347471,308.219139,0.000880,37.326582,0.020438,0.000000,0.000000,0
0.284806,-279.149078,-0.467062,369.862957,0.001217,72.583846,0.011069,0.000000,0.000000,0
0.312993,-271.704010,-0.133502,431.506754,0.001673,117.372691,0.007702,0.000000,0.000000,0
0.343507,-263.155121,-0.216196,493.150288,0.000491,170.458749,0.006227,0.000000,0.000000,0
0.367252,-253.712112,0.440363,554.794097,0.000822,226.548726,0.003390,0.000000,0.000000,0
0.395622,-243.359406,0.590517,616.436119,-0.001736,285.299692,0.005300,0.000000,0.000000,0
0.421593,-232.116531,-0.241325,678.079807,-0.002427,345.765374,0.005125,0.000000,0.000000,0
0.443705,-219.927094,0.681554,739.719570,0.001040,408.491354,0.007093,0.000000,0.000000,0
0.468658,-206.737427,-0.096809,801.357070,-0.003099,473.926574,0.011348,0.000000,0.000000,0
0.576341,-192.554581,1.148512,862.995807,0.000468,541.258329,0.013105,0.000000,0.000000,0
0.593265,-177.314590,1.894772,924.621787,-0.005965,611.342634,0.014402,0.000000,0.000000,0
0.608171,-161.022873,1.003210,986.255319,-0.010686,683.055812,0.014537,0.000000,0.000000,0
0.628339,-143.686752,2.037059,1047.889365,-0.006230,756.373435,0.015634,0.000000,0.000000,0
0.638456,-126.920921,0.756883,986.212449,-0.014176,831.222656,0.016362,0.000000,0.000000,0
0.660301,-110.696960,1.436952,924.535353,-0.005963,907.581077,0.015225,0.000000,0.000000,0
0.682456,-95.411377,1.514707,862.868757,-0.012980,978.988213,0.012191,0.000000,0.000000,0
0.708535,-81.610748,0.559451,801.221309,-0.015874,1037.778825,0.008542,0.000000,0.000000,0
0.714500,-68.962219,0.486169,739.544885,-0.006855,1078.380545,0.005517,0.000000,0.000000,0
0.741434,-57.129559,0.400839,677.901035,-0.007050,1097.031805,0.002691,0.000000,0.000000,0
0.760018,-46.441170,0.124075,616.257199,-0.007016,1093.267757,0.000324,0.000000,0.000000,0
0.770447,-36.884392,1.190039,554.607548,-0.002672,1071.564561,-0.002283,0.000000,0.000000,0
0.804204,-28.573900,1.038502,492.721076,-0.032253,1034.811492,-0.004085,0.000000,0.000000,0
0.828613,-21.425797,0.171042,431.073149,-0.036328,987.415803,-0.005476,0.000000,0.000000,0
0.854756,-15.408432,0.569982,369.256146,-0.007983,931.606314,-0.007310,0.000000,0.000000,0
0.881826,-11.119613,-0.373044,269.958664,-0.036975,868.522609,-0.009270,0.000000,0.000000,0
0.903195,-8.678809,0.125266,154.871464,0.033536,800.029457,-0.011820,0.000000,0.000000,0
0.928286,-7.907547,0.291487,61.298758,-0.014433,726.339668,-0.013957,0.000000,0.000000,0
0.936143,-7.351950,-0.035754,77.321684,-0.036845,648.416383,-0.017187,0.000000,0.000000,0
0.963145,-6.955717,0.074557,84.214270,0.004863,565.813330,-0.021003,0.000000,0.000000,0
0.990201,-7.298073,-0.183680,13.304899,-0.010718,481.239507,-0.024226,0.000000,0.000000,0
1.006775,-6.791193,-0.194749,45.276468,0.025163,399.271556,-0.026462,0.000000,0.000000,0
1.015285,-6.323128,-0.165542,62.316974,0.028669,322.327446,-0.027518,0.000000,0.000000,0
1.038255,-7.426496,-0.219562,0.378447,0.026174,252.319529,-0.027344,0.000000,0.000000,0
0.020935,-7.686954,-0.586885,61.985727,-0.416972,192.147756,-0.024649,2638.000000,-1172.000000,1
0.030225,-7.313312,-1.491092,123.629562,-0.416820,140.378313,-0.019578,2638.000000,-1172.000000,1
0.054147,-6.689137,-2.610531,185.273394,-0.416586,97.118708,-0.013373,2638.000000,-1172.000000,1
0.077115,-4.975400,-4.134455,246.917223,-0.416319,64.237281,-0.011947,2638.000000,-1172.000000,1
0.082788,-1.872329,-5.738971,308.561052,-0.416077,45.309663,-0.079860,2638.000000,-1172.000000,1
0.113033,1.848223,-7.526769,370.204886,-0.416003,40.553325,-0.269621,2638.000000,-1172.000000,1
0.137039,6.193976,-9.560089,431.848722,-0.415957,49.037130,-0.482388,2638.000000,-1172.000000,1
0.162910,10.981681,-12.953902,493.492557,-0.415921,72.614795,-0.579720,2638.000000,-1172.000000,1
0.192984,16.901356,-16.790945,555.136351,-0.415514,110.980732,-0.591304,2638.000000,-1172.000000,1
0.218700,24.217180,-20.904413,616.780145,-0.415122,163.069363,-0.569227,2638.000000,-1172.000000,1
0.243521,32.909439,-25.480366,678.423955,-0.414837,226.949484,-0.541921,2638.000000,-1172.000000,1
0.371798,43.228783,-29.908514,740.067771,-0.414597,299.396421,-0.512356,2638.000000,-1172.000000,1
0.388902,54.783249,-35.002960,801.711606,-0.414633,378.816516,-0.485827,2638.000000,-1172.000000,1
0.407739,67.835342,-40.192558,863.355442,-0.414631,463.889704,-0.462722,2638.000000,-1172.000000,1
0.425624,82.056801,-46.031532,924.999263,-0.414812,552.340735,-0.444956,2638.000000,-1172.000000,1
