playerNumber,power,maxBallVelMod,firstBallVel
0,1000.000000,2670.192462,131.238069
0,1100.000000,2799.936329,146.155099
0,1200.000000,2926.659919,158.740244
0,1300.000000,3051.852709,164.768989
